GND,Name
1019321067,"Adolphi, Alexis"
124306829,"Altmann, Wilhelm"
117762822,"Amster, Moritz"
116684208,"Anton, Helene"
1158842767,"Arbter, Emma Wanda von"
116518006,"Arends, Leopold"
1044287187,"Ascharin, Andreas"
119513439,"Bacmeister, Johann"
138442762,"Bakody, Tivadar"
1326954458,"Bauer, Erwin"
116089075,"Baumbach, Eduard"
118071750,"Baumbach, Nicolai"
116132914,"Bergmann, Eugen Ernst"
1032960728,"Bertels, Kurt"
116226099,"Böttcher, Mathilde"
1037718372,"Brinkmann, Max"
116828781,"Budberg-Benninghausen, Roman Friedrich"
unidentified001,"Buss, Aurelie"
1050422937,"Büttner, Hans"
1227439849,"Cambecq, Victor Ludwig"
116524685,"Claar, Emil"
132734405X,"Claus, Karl"
1055113177,"Conradi, Johanna"
118522310,"Corvin-Wiersbitzki, Otto Julius Bernhard von"
1050460235,"Daudert, Ernst Wilhelm"
unidentified002,"Dembitzki, Anton Leo"
1213287766,"Denffer, August Karl Nicolai Eugen von"
1055112596,"Donnersberg, Edit"
100809766,"Dräxler, Carl Ferdinand"
123905792X,"Dreyersdorff, Alberta"
1050460677,"Du Feaux, Emmy"
116243708,"Dukmeyer, Friedrich"
118869345,"Dulk, Albert Friedrich Benno"
1036990052,"Eckardt, Guido Heinrich"
1050470745,"Eckers, Gustav"
1193671655,"Eltz, Hugo von"
11614730X,"Engelhardt-Schnellstein, Helene von"
119351439,"Erdberg, Robert von"
1238483607,"Erdmann, Bruno Adam Julius Johann"
116586788,"Flachs, Adolf"
1037803639,"Franzius, Abraham Gottlieb Hermann"
116791845,"Friede, Victor von"
1152957317,"Friedenstein, Wilhelm"
116333235,"Gaehtgens, Hermann"
12420239X,"Gerbel, Nikolaj Vasilʹevič"
116647337,"Girgensohn, Lotta"
1025309391,"Glehn, Nikolai von"
1038112206,"Gleye, Maria Carlita"
116663952,"Glitsch, Konstantin"
1157480837,"Goldhammer, Karl Reinhold"
1038240697,"Grosewsky, Theodor Robert"
116879017,"Grotthuss, Jeannot Emil von"
116879483,"Grube, Max"
116893001,"Grünstein, Leo"
1212021932,"Grunwaldt, Eduard Gustav"
11869894X,"Guenther, Johannes von"
122762252X,"Günther, Viktor Leopold"
116931868,"Gutfeldt, Ina"
1202427057,"Haken, Alexander von"
116420871,"Halpern, Max"
116483350,"Harnack, Otto"
116523859,"Hauff, Gustav"
116527935,"Haupt, Josef"
136709680,"Hausmann, Julie"
103081062,"Hildebrandt-Strehlen, Karl Theodor Heinrich"
116932821,"Hoerschelmann, Emilie von"
118862944,"Holm, Korfiz"
116965355,"Holm, Mia"
1055122257,"Hülsen, Wilhelm"
117069698,"Hunnius, Carl"
140283080,"Jaeger, Jacques"
1089582196,"Jaksch, Elfriede"
117079669,"Jannsen, Harry"
101788665,"Jessen, Ludwig von"
118558765,"Jung, Frieda"
116015683,"Kaden, Woldemar"
1057766305,"Kegel, Franz"
118721690,"Keller, Samuel"
1102221384,"Keuchel, Gustav"
1157580815,"Kienitz, Oskar Carl Ernst"
113665954,"Kotzebue, Wilhelm von"
1018227644,"Kováts, Edgar"
141208813,"Kraus, Eberhard"
116555211,"Kronfeld, E. M."
